kitchen_name,oracle_code,cluster_marker,rent,city,zone,format_final,entity,status,reason_for_change,lock_in,lock_in_end_date,ops_closed,last_ops_date,last_rent_date,ll_clearance,shut_suspend_continue,dec_net_revenue,dec_ebitda,sd,sd_adjustment,sd_recovery,remarks,notice_period,remarks_2,rental_hit_till_lock_in,capex,framework,closure_phasing,hr_remarks
Mathikere,,A340,,Bangalore,South,Cloud,SB,Yes,,Yes,15-Dec-26,Yes,31-Jan-26,31-Jan-26,Yes,,"1,93,363","-2,05,806","5,40,000","5,40,000",0,SD Recovery done,60 days,Closed,,,4,3,Communication on Hold due to Eid
Ambattur,,A341,,Chennai,South,Cloud,SB,Yes,,No,,Yes,31-Mar-26,11-May-26,Yes,,"4,63,323","-3,05,817","2,25,000",,0,LL Discussion in process,90 days,Closed,,,3,3,Communication on Hold due to Eid
Ullal,,A348,,Ullal,South,Restaurant,SB,Yes,,Yes,01-Aug-26,Yes,31-Mar-26,31-Oct-26,No,,"12,12,370","-3,80,903","6,99,000",,"-5,00,000",LL Discussion in process,90 days,Closed,,,4,3,Communication on Hold due to Eid
Basweswara nagar -Arambam,,A350,,Bangalore,South,Restaurant,MLE,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,"10,28,253","-2,38,537","15,00,000","9,70,300","5,29,700",SD Recovery done,-,Closed,,,1,,Employees Transferred
BLR HRX EGL,HRX EGL,A40,"58,543",Bangalore,South,Takeaway,CFI,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,"2,67,607","-1,43,990","3,60,000","1,17,086","62,914",LL Discussion in process,60 days,Closed,,,1,,Employee Communication Done 
Avadi,,A42,,Chennai,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,11-May-26,Yes,,"8,84,574","-3,51,423","9,60,000",,0,LL Discussion in process,45 days,Closed,,,1,3,Communication on Hold due to Eid
Kasargod,SHBKL002,A4326,,Kasargod,South,Restaurant,SB,Yes,,Yes,19-Sep-26,Yes,31-Jan-26,31-Mar-26,Yes,,"5,10,585","-2,47,151","12,00,000","12,00,000",0,SD Recovery done,-,Closed,,,4,3,Communication on Hold due to Eid
BOM HRX Palladium,HRXBOM001,A45,,Mumbai,West,Takeaway,CFI,Yes,,Yes,31-Dec-26,No,31-Aug-26,31-Aug-26,No,,"2,67,838","-3,51,248","17,15,520",0,0,To be closed after June'26,180 days,Mail not initiated,,,0,4,
DLF Bannerghatta Road,ROWBLR008,A67,"24,150",Bangalore,South,Cloud,ROW,Yes,,Closed,,Yes,30-Nov-25,31-Aug-25,Yes,Done,-,-,"1,50,000","1,50,000",0,SD Recovery done,60 days,Closed,,,1,,Employee Communication Done 
BLR ROW EGL,ROWBLR018,A72,"58,543",Bangalore,South,Takeaway,CFI,Yes,,Closed,,Yes,05-Jan-26,31-Jan-26,Yes,Done,-,-,"1,80,000","1,17,086","62,914",LL Discussion in process,60 days,Closed,,,,,Employee Communication Done 
Erode,SHBERD001,A73,,Erode,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,11-May-26,Yes,,"16,52,630","-2,22,806","13,50,000",,0,LL Discussion in process,90 days,Closed,,,2,3,Communication on Hold due to Eid
BOM_BOSAIR,CFIBOM028,A7804,"59,000",Mumbai,West,Takeaway,Olio,Yes,,Closed,,Yes,30-Sep-25,30-Sep-25,Yes,Done,-,-,"50,000","50,000",0,SD Recovery done,-,Closed,,,1,,Communication done with employees
Colaba,NOMMH015,A80,,Mumbai,West,Cloud,Nomad,Yes,,No,,Yes,07-Feb-26,28-Feb-26,Yes,,"9,03,081","-22,369","3,75,000","3,15,000","60,000",LL Discussion in process,30 days,Closed,,,,,Employee COmmunication DOne ( Transferred and exited)
Vellore,CFIMAA012,A83,,Vellore,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,11-May-26,Yes,,"11,93,267","-3,46,953","14,40,000",,0,LL Discussion in process,90 days,Closed,,,2,3,Communication on Hold due to Eid
HBR (Kammanahalli),CFIBLR035,A91,,Bangalore,South,Cloud,MLE,Yes,,Yes,31-Mar-26,Yes,05-Apr-26,15-May-26,Yes,,"10,07,602","-3,41,896","11,00,000",0,0,To be moved to Banaswadi. Maintenance work in progress at Banaswadi,60 days,Closed,,,4,1,Employees Transferred
Indiranagar - Arambam,,A91000,,Bangalore,South,Cloud,"Arambam, FB",Yes,,Closed,,Yes,31-Dec-25,31-Jan-26,Yes,Done,"10,28,870","-1,52,961","10,00,000",TBD,0,LL Discussion in process,-,Closed,,,1,,"Employees Transferred to  Hellur ( Cloud Kitchen is working , Offline store closed)"
Ooty,SHBOTY001,A174,,Ooty,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,31-Mar-26,Yes,,"17,92,755","37,411","10,00,000",,0,LL Discussion in process,30 days,Closed,,,,,
KK CLOUD KITCHEN RAJOURI GARDEN DELHI,KKCFDEL16,KK311,,Delhi,North,Cloud,KK,Yes,,No,,Yes,30-Mar-26,31-Mar-26,Yes,,"1,28,368","-14,776",0,0,0,SD Recovery done,60 days,Closed,,,,2,Employee COmmunication DOne ( Transferred and exited)
Yemlur,CKZBLR034,Not live,"65,000",Bangalore,South,Cloud,"Olio, CZ",Yes,,Yes,25-Oct-26,Yes,25-Feb-26,31-Mar-26,Yes,-,,,"3,00,000",0,0,LL Discussion in process,60 days,Mail initiated,"7,70,000",,,2,Never opened
Brookefield,CFIBLR028,41,,Bangalore,South,Cloud,"CFI, CZ, KK, Olio, ROW, ME",Yes,,No,,Yes,10-May-26,08-Jun-26,Yes,,,,"6,00,000",0,0,LL Discussion in process,60 days,Mail initiated,,,,,
Magarpatta,CFIPNQ004,149,,Pune,West,Cloud,"CFI, CZ, Olio, ROW, ME",Yes,Movement,No,,Yes,20-May-26,15-Jun-26,Yes,,,,"3,20,000",0,0,LL Discussion in process,60 days,Mail initiated,,,,,
Okhla,CFIDEL003,93,,Delhi,North,Cloud,"CFI, CZ, KK, Olio",Yes,,No,,Yes,20-May-26,31-May-26,Yes,,,,"3,24,000",0,0,LL Discussion in process,60 days,Mail initiated,,,,,
Uppal,CFIHYD013,121,,Hyderabad,South,Cloud,"CFI, CZ, Olio, ROW",Yes,,Yes,01-Jun-26,Yes,25-May-26,17-Jun-26,Yes,,,,"3,50,000",0,0,,60 days,Mail initiated,,,,,
Fort Cochin,CFIKER005,323,,Cochin,South,Cloud,Olio,Yes,,Yes,05-Jul-26,Yes,15-Apr-26,00-Jan-00,No,,,,"2,00,000",0,0,,60 days,Closed,,,,,
CZ KPHB,CKZHYD006,A135,,Hyderabad,South,Cloud,"CZ, KK",Yes,,No,,Yes,30-May-26,30-Jun-26,Yes,,,,"1,90,000",0,0,,60 days,Mail initiated,,,,,
Connaught Place,CFIDEL014,A63,,Delhi,North,Cloud,CFI,Yes,,No,,Yes,20-May-26,17-Jun-26,Yes,,,,"2,20,000",0,0,,60 days,Mail initiated,,,,,
GGL,ROWBLR020,8,,Bangalore,South,Takeaway,"ROW, Olio, KK",Yes,,No,,Yes,16-Apr-26,31-May-26,Yes,,,,"3,00,000","1,98,391","1,01,609",,60 days,Closed,,,,,
ROW Jayanagar,ROWBLR007,A108,,Bangalore,South,Cloud,ROW,Yes,,No,,No,15-Jun-26,30-Jun-26,Yes,,,,"3,48,000",0,0,,60 days,Mail initiated,,,,,
ROW Indiranagar,ROWBLR013,A105,,Bangalore,South,Cloud,ROW,Yes,,No,,Yes,23-Apr-26,31-May-26,Yes,,,,"2,50,000","1,30,000","1,20,000",,60 days,Closed,,,,,
ROW Cunningham Road,ROWBLR003,A61,,Bangalore,South,Takeaway,ROW,Yes,,No,,Yes,30-May-26,31-May-26,Yes,,,,"4,00,000","3,10,504","89,496",,60 days,Mail initiated,,,,,
RR Nagar,SHBBLR010,A187,,Bangalore,South,Restaurant,SB,Yes,,No,,Yes,31-Mar-26,31-May-26,Yes,,,,,,0,,60 days,Closed,,,,,
